,watt,Ir,Iy,Ib,Vr,Vy,Vb,PF,distance
0,18,10.84,5.6499999999999995,6.029999999999999,233.66,234.75,235.58,0.989,30
1,18,10.83,5.66,6.01,233.74,234.52,235.63,0.989,30
2,18,10.92,5.699999999999999,6.069999999999999,231.92000000000002,232.9,233.9,0.989,30
3,18,10.91,5.71,6.08,232.19,233.4,234.32,0.989,30
4,18,10.969999999999999,5.7299999999999995,6.1,233.35,234.45000000000002,235.34,0.986,30
5,18,10.75,5.6,5.97,235.6,236.45000000000002,237.51000000000002,0.988,30
6,18,10.69,5.56,5.93,237.33,238.5,239.42000000000002,0.989,30
7,18,10.7,5.59,5.96,236.13,237.31,237.9,0.988,30
8,18,10.73,5.58,5.96,236.29000000000002,237.49,238.09,0.988,30
9,18,10.719999999999999,5.6,5.9799999999999995,235.67000000000002,237.37,238.02,0.988,30
10,18,10.67,5.569999999999999,5.949999999999999,237.56,238.81,239.73000000000002,0.988,30
11,18,10.76,5.59,5.9799999999999995,236.11,237.81,238.35,0.989,30
12,18,10.68,5.569999999999999,5.949999999999999,237.49,239.06,239.82,0.988,30
13,18,10.04,5.6,5.989999999999999,235.56,237.06,237.6,0.987,30
14,18,10.0,5.609999999999999,5.9799999999999995,235.49,236.9,237.65,0.987,30
15,18,9.93,5.58,5.9399999999999995,237.81,239.49,240.25,0.987,30
16,18,9.87,5.58,5.9399999999999995,240.92000000000002,242.17000000000002,243.04000000000002,0.987,30
17,18,9.83,5.37,5.739999999999999,246.34,247.5,248.14000000000001,0.987,30
18,18,9.81,5.37,5.7299999999999995,246.68,247.62,248.53,0.987,30
19,18,9.78,5.35,5.71,247.54000000000002,248.39000000000001,249.61,0.987,30
20,18,9.81,5.37,5.739999999999999,246.33,247.35,248.27,0.986,30
21,18,9.82,5.37,5.75,246.37,247.34,248.08,0.987,30
22,18,10.549999999999999,5.41,5.779999999999999,244.34,245.66,246.47,0.988,30
23,18,10.54,5.3999999999999995,5.779999999999999,244.65,246.12,246.87,0.988,30
24,18,10.54,5.41,5.79,244.93,245.89000000000001,246.6,0.988,30
25,18,10.58,5.4399999999999995,5.81,243.68,244.62,245.61,0.989,30
26,18,10.6,5.4399999999999995,5.819999999999999,242.93,243.94,244.87,0.988,30
27,18,10.549999999999999,5.43,5.81,243.81,244.69,245.49,0.988,30
28,18,10.57,5.449999999999999,5.819999999999999,242.63,243.66,244.59,0.988,30
29,18,10.58,5.46,5.819999999999999,242.6,243.77,244.51000000000002,0.988,30
30,18,10.629999999999999,5.489999999999999,5.87,241.03,241.9,242.45000000000002,0.986,60
31,18,10.69,5.54,5.89,239.87,240.73000000000002,241.84,0.985,60
32,18,10.75,5.58,5.949999999999999,237.89000000000001,238.67000000000002,239.79000000000002,0.985,60
33,18,10.82,5.59,5.97,237.25,238.23000000000002,238.92000000000002,0.985,60
34,18,10.81,5.62,6.0,236.17000000000002,237.27,237.81,0.985,60
35,18,10.87,5.6499999999999995,6.02,235.0,235.93,236.76000000000002,0.986,60
36,18,10.84,5.63,6.01,235.62,236.67000000000002,237.78,0.985,60
37,18,10.969999999999999,5.699999999999999,6.09,234.1,235.56,236.13,0.987,60
38,18,10.87,5.6499999999999995,6.55,233.87,234.81,235.16,0.986,60
